corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-fra-ext2	FRA20024_Sade_Aline	FRA20024	NA	Aline et Valcour ou le roman philosophique: MiMoText edition	NA	NA	M	viaf:56615966;wikidata:Q123867	1795	1795	NA	1795	NA	bgrf:95.36 wikidata:Q629452	fra	298809	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20044_Charriere_Femmes	FRA20044	NA	Trois Femmes: MiMoText edition	NA	NA	F	viaf:46760144;wikidata:Q123386	1795	1795	NA	1795	NA	bgrf:96.18	fra	38827	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20020_Diderot_Jacques	FRA20020	NA	Jacques le fataliste et son maître: MiMoText edition	NA	NA	M	viaf:54146831;wikidata:Q448	1796	1796	2012	1765-1784	NA	bgrf:97.21 wikidata:Q945216	fra	87238	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20077_Retif_Sara	FRA20077	NA	Histoire de Sara: MiMoText edition	NA	NA	M	viaf:29539705;wikidata:Q732729	1796	1796	NA	1883	NA	bgrf:83.48	fra	65462	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20019_Diderot_Religieuse	FRA20019	NA	La Religieuse: MiMoText edition	NA	NA	M	viaf:54146831;wikidata:Q448	1796	1796	NA	1875	NA	bgrf:97.22 wikidata:Q1209658	fra	78202	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20039_Senac_Emigre	FRA20039	NA	L’Émigré: MiMoText edition	NA	NA	M	viaf:95160951;wikidata:Q3093966	1797	1797	NA	1797	NA	bgrf:97.74	fra	132662	NA	NA	long	unspecified	T0
ELTeC-fra-ext2	FRA20062_Fievee_Dot	FRA20062	NA	La Dot de Suzette, ou Histoire de Mme de Senneterre racontée par elle-même: MiMoText edition	NA	NA	M	viaf:12413966;wikidata:Q3184948	1797	1797	NA	1826	NA	bgrf:98.41 wikidata:Q107275176	fra	31132	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20079_Retif_AntiJustine	FRA20079	Nicolas-Edme Rétif de la Bretonne	L'Anti-Justine: MiMoText edition	1734	1806	M	viaf:29539705;wikidata:Q732729	1798	1798	NA	1798	NA	bgrf:98.84 wikidata:Q3202134	fra	55477	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20087_Reveroni_Pauliska	FRA20087	NA	Pauliska ou la Perversité moderne	NA	NA	M	viaf:4935754;wikidata:Q3157878	1798	1798	NA	1798	NA	bgrf:98.85 wikidata:Q3372783	fra	60629	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20016_Lagrave_Sophie	FRA20016	Comtesse de Lagrave	Sophie de Beauregard, ou Le véritable amour: MiMoText edition	1770	1820	F	viaf:24641578;wikidata:	1798	1798	NA	1798	NA	bgrf:99.104	fra	53300	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20094_Cottin_Claire	FRA20094	NA	Claire d’Albe: MiMoText edition	NA	NA	F	viaf:27159707;wikidata:Q464409	1798	1798	NA	1824	NA	bgrf:99.62 wikidata:Q2975140	fra	39110	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20028_Ducray_Cinquante	FRA20028	NA	Les Cinquante francs de Jeannette, par le Cen Ducray-Duminil: MiMoText edition	NA	NA	M	viaf:22151844;wikidata:Q2072208	1798	1798	NA	1798	NA	bgrf:99.76	fra	66190	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20066_Rosny_Firmin	FRA20066	NA	Firmin ou le Jouet de la fortune: MiMoText edition	NA	NA	M	viaf:5028250;wikidata:Q52149410	1798	1798	NA	1798	NA	bgrf:98.88 wikidata:Q57200464	fra	36592	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20017_Lagrave_Zabeth	FRA20017	NA	Zabeth, ou la Victime de l'ambition: MiMoText edition	NA	NA	F	viaf:24641578;wikidata:	1798	1798	NA	1798	NA	bgrf:99.105	fra	68088	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20069_Bellin_Nuit	FRA20069	NA	La Nuit anglaise	NA	NA	M	viaf:9966915;wikidata:Q3261946	1799	1799	NA	1799	NA	bgrf:99.44	fra	47089	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20051_Quesne_Folies	FRA20051	NA	Les folies d’un conscrit	NA	NA	M	viaf:46875425;wikidata:Q3159956	1800	1800	NA	1799	NA	bgrf:00.127	fra	0000	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20018_Diderot_Neveu	FRA20018	NA	Le Neveu de Rameau: MiMoText edition	NA	NA	M	viaf:54146831;wikidata:Q448	NA	NA	NA	1862	NA	bgrf:1	fra	31383	NA	NA	short	unspecified	T0
